design,min_bound,max_bound,target_skew,target_kurt,target_het,target_vr,nu,tau,vp_val,sigma_shift,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
CAT-2W-1NUM,-0.93,0.93,0,-0.8,0,1,0,2.6,0,0,0,vp1,mod_fun_vp1,vp1,1
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0,1,0.16,0.8,0,0,0,vp1,mod_fun_vp1,vp1,2
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0,1,0.33,0.675,0,0,0,vp1,mod_fun_vp1,vp1,3
CAT-2W-1NUM,-0.93,0.93,0,-0.8,0.4,1,0,3.7,0.27,0,1,vp2,mod_fun_vp23,vp23,4
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.4,1,0.16,0.81,0.23,0,1,vp2,mod_fun_vp23,vp23,5
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.9,1,0.19,0.93,0.6,0,1,vp2,mod_fun_vp23,vp23,6
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.4,1,0.33,0.685,0.24,0,1,vp2,mod_fun_vp23,vp23,7
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.9,1,0.35,0.745,0.6,0,1,vp2,mod_fun_vp23,vp23,8
CAT-2W-1NUM,-0.93,0.93,0,-0.8,0.4,2.1,0,38,0.24,0.429,2,vp2,mod_fun_vp23,vp23,9
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.4,2.1,0.2,0.91,0.23,0.44,2,vp2,mod_fun_vp23,vp23,10
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.9,4.1,0.7,2.25,0.61,1.02,2,vp2,mod_fun_vp23,vp23,11
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.4,2.1,0.38,0.745,0.25,0.44,2,vp2,mod_fun_vp23,vp23,12
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.9,4.1,0.76,1.07,0.58,1.02,2,vp2,mod_fun_vp23,vp23,13
CAT-2W-1NUM,-0.93,0.93,0,-0.8,-0.5,1,0,20,-0.43,0,1,vp3,mod_fun_vp23,vp23,14
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,-0.5,1,0.17,0.83,-0.34,0,1,vp3,mod_fun_vp23,vp23,15
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,-0.8,1,0.18,0.88,-0.65,0,1,vp3,mod_fun_vp23,vp23,16
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,-0.5,1,0.31,0.675,-0.3,0,1,vp3,mod_fun_vp23,vp23,17
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,-0.8,1,0.33,0.703,-0.59,0,1,vp3,mod_fun_vp23,vp23,18
CAT-2W-1NUM,-0.93,0.93,0,-0.8,-0.5,2.1,0,38,-0.252,0.429,2,vp3,mod_fun_vp23,vp23,19
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,-0.5,2.1,0.21,0.92,-0.33,0.44,2,vp3,mod_fun_vp23,vp23,20
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,-0.8,4.1,0.44,1.41,-0.57,1.02,2,vp3,mod_fun_vp23,vp23,21
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,-0.5,2.1,0.37,0.735,-0.3,0.44,2,vp3,mod_fun_vp23,vp23,22
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,-0.8,4.1,0.61,0.94,-0.6,1.02,2,vp3,mod_fun_vp23,vp23,23
CAT-2W-1NUM,-0.93,0.93,0,-0.8,0.4,1,0,6,0.92,0,1,vp4,mod_fun_vp4,vp4,24
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.4,1,0.17,0.82,0.86,0,1,vp4,mod_fun_vp4,vp4,25
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.9,1,0.23,0.95,2,0,1,vp4,mod_fun_vp4,vp4,26
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.4,1,0.33,0.685,0.88,0,1,vp4,mod_fun_vp4,vp4,27
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.9,1,0.39,0.751,2.02,0,1,vp4,mod_fun_vp4,vp4,28
CAT-2W-1NUM,-0.93,0.93,0,-0.8,0.4,2.1,0,45,0.6,0.44,2,vp4,mod_fun_vp4,vp4,29
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.4,2.1,0.22,0.93,0.8,0.44,2,vp4,mod_fun_vp4,vp4,30
CAT-2W-1NUM,-6.31,8.47,0.5,0.9,0.9,4.1,1.45,2.2,1.9,1.01,2,vp4,mod_fun_vp4,vp4,31
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.4,2.1,0.38,0.739,0.8,0.44,2,vp4,mod_fun_vp4,vp4,32
CAT-2W-1NUM,-8.36,18.34,1.33,3.3,0.9,4.1,1.1,1.11,1.9,1.01,2,vp4,mod_fun_vp4,vp4,33