design,min_bound,max_bound,target_skew,target_kurt,target_het,b_main_shift_1,b_main_shift_2,b_int_shift,nu,tau,vp_val,frac,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
2-NUM-INT,-0.93,0.93,0,-0.8,0,0,-0.001,0,0,2.6,0,1,0,vp1,,,1
2-NUM-INT,-6.31,8.47,0.5,0.9,0,0,-0.004,0.002,0.16,0.8,0,1,0,vp1,,,2
2-NUM-INT,-8.36,18.34,1.33,3.3,0,-0.002,-0.005,0.002,0.33,0.675,0,1,0,vp1,,,3
2-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,-0.001,0,0,5,0.26,1,1,vp2,mod_fun_vp23,vp23,4
2-NUM-INT,-6.31,8.47,0.5,0.9,0.4,-0.001,-0.004,-0.004,0.16,0.81,0.21,1,1,vp2,mod_fun_vp23,vp23,5
2-NUM-INT,-6.31,8.47,0.5,0.9,0.9,-0.001,-0.003,-0.014,0.19,0.925,0.6,1,1,vp2,mod_fun_vp23,vp23,6
2-NUM-INT,-8.36,18.34,1.33,3.3,0.4,-0.003,-0.004,-0.012,0.33,0.68,0.2,1,1,vp2,mod_fun_vp23,vp23,7
2-NUM-INT,-8.36,18.34,1.33,3.3,0.9,-0.003,-0.004,-0.028,0.35,0.739,0.6,1,1,vp2,mod_fun_vp23,vp23,8
2-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,-0.001,0,0,25,0.47,2,2,vp2,mod_fun_vp23,vp23,9
2-NUM-INT,-6.31,8.47,0.5,0.9,0.4,0,-0.004,-0.01,0.17,0.83,0.39,2,2,vp2,mod_fun_vp23,vp23,10
2-NUM-INT,-6.31,8.47,0.5,0.9,0.9,-0.001,-0.005,-0.032,0.23,1.08,1.04,2,2,vp2,mod_fun_vp23,vp23,11
2-NUM-INT,-8.36,18.34,1.33,3.3,0.4,-0.002,-0.005,-0.023,0.33,0.683,0.34,2,2,vp2,mod_fun_vp23,vp23,12
2-NUM-INT,-8.36,18.34,1.33,3.3,0.9,-0.002,-0.006,-0.087,0.42,0.815,1,2,2,vp2,mod_fun_vp23,vp23,13
2-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,-0.001,0,0,35,-0.434,1,1,vp3,mod_fun_vp23,vp23,14
2-NUM-INT,-6.31,8.47,0.5,0.9,0.4,0.001,-0.003,0.01,0.17,0.83,-0.36,1,1,vp3,mod_fun_vp23,vp23,15
2-NUM-INT,-6.31,8.47,0.5,0.9,0.9,0.001,-0.003,0.017,0.18,0.89,-0.68,1,1,vp3,mod_fun_vp23,vp23,16
2-NUM-INT,-8.36,18.34,1.33,3.3,0.4,0,-0.005,0.021,0.31,0.682,-0.38,1,1,vp3,mod_fun_vp23,vp23,17
2-NUM-INT,-8.36,18.34,1.33,3.3,0.9,0.001,-0.005,0.037,0.33,0.708,-0.61,1,1,vp3,mod_fun_vp23,vp23,18
2-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,0,0,0,30,-1.5,5,2,vp3,mod_fun_vp23,vp23,19
2-NUM-INT,-6.31,8.47,0.5,0.9,0.4,0.001,-0.002,0.032,0.21,0.88,-1,2,2,vp3,mod_fun_vp23,vp23,20
2-NUM-INT,-6.31,8.47,0.5,0.9,0.9,0.001,0,0.056,0.2,1.04,-5,2,2,vp3,mod_fun_vp23,vp23,21
2-NUM-INT,-8.36,18.34,1.33,3.3,0.4,-0.001,-0.003,0.054,0.33,0.705,-0.95,2,2,vp3,mod_fun_vp23,vp23,22
2-NUM-INT,-8.36,18.34,1.33,3.3,0.9,0.001,-0.001,0.111,0.35,0.772,-3.3,2,2,vp3,mod_fun_vp23,vp23,23
2-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,-0.001,0,0,6,0.97,1,1,vp4,mod_fun_vp4,vp4,24
2-NUM-INT,-6.31,8.47,0.5,0.9,0.4,-0.027,-0.003,0.001,0.17,0.83,0.95,1,1,vp4,mod_fun_vp4,vp4,25
2-NUM-INT,-6.31,8.47,0.5,0.9,0.9,-0.083,-0.002,-0.001,0.23,0.96,2.1,1,1,vp4,mod_fun_vp4,vp4,26
2-NUM-INT,-8.36,18.34,1.33,3.3,0.4,-0.079,-0.004,0.001,0.33,0.69,0.9,1,1,vp4,mod_fun_vp4,vp4,27
2-NUM-INT,-8.36,18.34,1.33,3.3,0.9,-0.181,-0.003,-0.001,0.45,0.78,2.1,1,1,vp4,mod_fun_vp4,vp4,28
2-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,-0.001,0,0,21,3.4,5,2,vp4,mod_fun_vp4,vp4,29
2-NUM-INT,-6.31,8.47,0.5,0.9,0.4,-0.022,-0.024,-0.001,0.18,0.85,1.5,2,2,vp4,mod_fun_vp4,vp4,30
2-NUM-INT,-6.31,8.47,0.5,0.9,0.9,-0.084,-0.085,-0.012,0.31,1.09,3.19,2,2,vp4,mod_fun_vp4,vp4,31
2-NUM-INT,-8.36,18.34,1.33,3.3,0.4,-0.064,-0.065,-0.004,0.33,0.696,1.44,2,2,vp4,mod_fun_vp4,vp4,32
2-NUM-INT,-8.36,18.34,1.33,3.3,0.9,-0.176,-0.176,-0.025,0.51,0.837,3.2,2,2,vp4,mod_fun_vp4,vp4,33