design,n_preds,min_bound,max_bound,target_skew,target_kurt,target_het,nu,tau,vp_val,frac,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
N-NUM,1,-0.93,0.93,0,-0.8,0,0,2.6,0,1,0,vp1,,,1
N-NUM,1,-6.31,8.47,0.5,0.9,0,0.16,0.8,0,1,0,vp1,,,2
N-NUM,1,-8.36,18.34,1.33,3.3,0,0.33,0.675,0,1,0,vp1,,,3
N-NUM,1,-0.93,0.93,0,-0.8,0.4,0,5,0.26,1,1,vp2,mod_fun_vp23,vp23,4
N-NUM,1,-6.31,8.47,0.5,0.9,0.4,0.16,0.81,0.21,1,1,vp2,mod_fun_vp23,vp23,5
N-NUM,1,-6.31,8.47,0.5,0.9,0.9,0.19,0.925,0.6,1,1,vp2,mod_fun_vp23,vp23,6
N-NUM,1,-8.36,18.34,1.33,3.3,0.4,0.33,0.68,0.21,1,1,vp2,mod_fun_vp23,vp23,7
N-NUM,1,-8.36,18.34,1.33,3.3,0.9,0.35,0.74,0.6,1,1,vp2,mod_fun_vp23,vp23,8
N-NUM,1,-0.93,0.93,0,-0.8,-0.5,0,35,-0.434,1,1,vp3,mod_fun_vp23,vp23,14
N-NUM,1,-6.31,8.47,0.5,0.9,-0.5,0.17,0.83,-0.36,1,1,vp3,mod_fun_vp23,vp23,15
N-NUM,1,-6.31,8.47,0.5,0.9,-0.8,0.18,0.87,-0.68,1,1,vp3,mod_fun_vp23,vp23,16
N-NUM,1,-8.36,18.34,1.33,3.3,-0.5,0.31,0.68,-0.37,1,1,vp3,mod_fun_vp23,vp23,17
N-NUM,1,-8.36,18.34,1.33,3.3,-0.8,0.33,0.702,-0.62,1,1,vp3,mod_fun_vp23,vp23,18
N-NUM,1,-0.93,0.93,0,-0.8,0.4,0,6,0.93,1,1,vp4,mod_fun_vp4,vp4,24
N-NUM,1,-6.31,8.47,0.5,0.9,0.4,0.17,0.825,0.9,1,1,vp4,mod_fun_vp4,vp4,25
N-NUM,1,-6.31,8.47,0.5,0.9,0.9,0.23,0.96,1.9,1,1,vp4,mod_fun_vp4,vp4,26
N-NUM,1,-8.36,18.34,1.33,3.3,0.4,0.33,0.69,0.9,1,1,vp4,mod_fun_vp4,vp4,27
N-NUM,1,-8.36,18.34,1.33,3.3,0.9,0.42,0.77,1.9,1,1,vp4,mod_fun_vp4,vp4,28